% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1.6                                               473.1661261446394+1.48211236814499i               473.1661261446394                                 159.6255912555583                                 473.1661261446394                                 159.6255912555583                                 473.1661261446394                                 159.6255912555583
1.6                                               473.1909087842743+2.07326899530674i               473.1909087842743                                 114.11710440262138                                473.1909087842743                                 114.11710440262138                                473.1909087842743                                 114.11710440262138
1.6                                               473.37257978852773+3.3809621072716762i            473.37257978852773                                70.00560266120871                                 473.37257978852773                                70.00560266120871                                 473.37257978852773                                70.00560266120871
1.6                                               473.9965749277395+1.6931429959413546i             473.9965749277395                                 139.97535236656327                                473.9965749277395                                 139.97535236656327                                473.9965749277395                                 139.97535236656327
1.8                                               466.75643786993237+1.6430463816759309i            466.75643786993237                                142.0399457603364                                 466.75643786993237                                142.0399457603364                                 466.75643786993237                                142.0399457603364
1.8                                               467.8242588755718+2.150225733621029i              467.8242588755718                                 108.78491768576899                                467.8242588755718                                 108.78491768576899                                467.8242588755718                                 108.78491768576899
1.8                                               468.12695249177654+2.4760322010839437i            468.12695249177654                                94.53167698845809                                 468.12695249177654                                94.53167698845809                                 468.12695249177654                                94.53167698845809
1.8                                               468.2589817224746+1.3602341716948552i             468.2589817224746                                 172.12440014612434                                468.2589817224746                                 172.12440014612434                                468.2589817224746                                 172.12440014612434
1.8                                               468.4955810118879+2.2126417850880404i             468.4955810118879                                 105.86792316977929                                468.4955810118879                                 105.86792316977929                                468.4955810118879                                 105.86792316977929
1.8                                               468.8901327140773+3.45038470183323i               468.8901327140773                                 67.94751502128885                                 468.8901327140773                                 67.94751502128885                                 468.8901327140773                                 67.94751502128885
1.8                                               469.1936713291178+1.658396124725635i              469.1936713291178                                 141.4600722751753                                 469.1936713291178                                 141.4600722751753                                 469.1936713291178                                 141.4600722751753
1.8                                               470.0805546598942+2.780386665612914i              470.0805546598942                                 84.53510450070237                                 470.0805546598942                                 84.53510450070237                                 470.0805546598942                                 84.53510450070237
1.8                                               470.23421123301534+3.9315614333379187i            470.23421123301534                                59.80247532769489                                 470.23421123301534                                59.80247532769489                                 470.23421123301534                                59.80247532769489
